Date,"Wikipedia:ツール"
2016-01-01,9
2016-01-02,5
2016-01-03,12
2016-01-04,27
2016-01-05,24
2016-01-06,29
2016-01-07,15
2016-01-08,32
2016-01-09,10
2016-01-10,12
2016-01-11,17
2016-01-12,13
2016-01-13,13
2016-01-14,15
2016-01-15,23
2016-01-16,11
2016-01-17,15
2016-01-18,16
2016-01-19,9
2016-01-20,16
2016-01-21,14
2016-01-22,20
2016-01-23,12
2016-01-24,12
2016-01-25,19
2016-01-26,17
2016-01-27,12
2016-01-28,17
2016-01-29,28
2016-01-30,6
2016-01-31,15
2016-02-01,26
2016-02-02,17
2016-02-03,15
2016-02-04,29
2016-02-05,17
2016-02-06,29
2016-02-07,16
2016-02-08,15
2016-02-09,16
2016-02-10,19
2016-02-11,13
2016-02-12,7
2016-02-13,18
2016-02-14,20
2016-02-15,27
2016-02-16,8
2016-02-17,24
2016-02-18,24
2016-02-19,22
2016-02-20,25
2016-02-21,12
2016-02-22,14
2016-02-23,14
2016-02-24,14
2016-02-25,15
2016-02-26,34
2016-02-27,26
2016-02-28,9
2016-02-29,27
2016-03-01,41
2016-03-02,10
2016-03-03,22
2016-03-04,17
2016-03-05,13
2016-03-06,10
2016-03-07,9
2016-03-08,13
2016-03-09,23
2016-03-10,21
2016-03-11,17
2016-03-12,15
2016-03-13,9
2016-03-14,7
2016-03-15,36
2016-03-16,21
2016-03-17,17
2016-03-18,8
2016-03-19,13
2016-03-20,22
2016-03-21,13
2016-03-22,16
2016-03-23,17
2016-03-24,14
2016-03-25,8
2016-03-26,21
2016-03-27,17
2016-03-28,15
2016-03-29,12
2016-03-30,9
2016-03-31,11
2016-04-01,17
2016-04-02,13
2016-04-03,11
2016-04-04,15
2016-04-05,10
2016-04-06,21
2016-04-07,27
2016-04-08,16
2016-04-09,21
2016-04-10,13
2016-04-11,15
2016-04-12,13
2016-04-13,13
2016-04-14,11
2016-04-15,13
2016-04-16,14
2016-04-17,7
2016-04-18,15
2016-04-19,11
2016-04-20,9
2016-04-21,16
2016-04-22,14
2016-04-23,21
2016-04-24,12
2016-04-25,23
2016-04-26,14
2016-04-27,10
2016-04-28,12
2016-04-29,11
2016-04-30,3
2016-05-01,15
2016-05-02,6
2016-05-03,9
2016-05-04,16
2016-05-05,17
2016-05-06,24
2016-05-07,36
2016-05-08,9
2016-05-09,39
2016-05-10,10
2016-05-11,10
2016-05-12,30
2016-05-13,18
2016-05-14,24
2016-05-15,20
2016-05-16,23
2016-05-17,25
2016-05-18,20
2016-05-19,26
2016-05-20,13
2016-05-21,21
2016-05-22,15
2016-05-23,25
2016-05-24,32
2016-05-25,8
2016-05-26,19
2016-05-27,24
2016-05-28,8
2016-05-29,7
2016-05-30,20
2016-05-31,18
2016-06-01,12
2016-06-02,17
2016-06-03,24
2016-06-04,16
2016-06-05,27
2016-06-06,20
2016-06-07,10
2016-06-08,24
2016-06-09,16
2016-06-10,15
2016-06-11,14
2016-06-12,12
2016-06-13,8
2016-06-14,18
2016-06-15,23
2016-06-16,46
2016-06-17,36
2016-06-18,45
2016-06-19,12
